subject,body,label,is_phishing,is_malware,is_harmful,is_ad,정상,해설
보안 인증 필요,보안 인증이 필요합니다. 인증: http://secure-auth.kr,1,1,0,0,0,피싱,"자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 의심스러운 도메인 표기(비공식/특이 패턴, [.] 등)"
긴급: 비밀번호 만료 안내,비밀번호 만료 예정입니다. 즉시 재설정해 주세요: http://reset-password.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 짧은 기한·긴급성으로 행동 압박
정기점검 안내,"포인트 적립 내역입니다.
이번 달 적립된 포인트를 확인하세요.",0,0,0,0,0,정상,
배송비 환급 이벤트,잘못 청구된 배송비를 환급해드립니다. 신청: https://refund-service.kr,1,1,0,0,1,피싱,환급/결제/청구 등 금전 미끼 사용; 택배/통관/관세 이슈 사칭
설문조사 참여 부탁드립니다,"안녕하세요, 주문하신 상품이 정상적으로 배송 출고되었습니다.
감사합니다.",0,0,0,0,0,정상,
정기점검 안내,"포인트 적립 내역입니다.
이번 달 적립된 포인트를 확인하세요.",0,0,0,0,0,정상,
포인트 복구 안내,포인트 복구를 위해 로그인: http://point-recover.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함
긴급 보안 검사,긴급 보안 검사를 시작해 주세요: https://security-check.kr,1,1,0,0,0,피싱,짧은 기한·긴급성으로 행동 압박
결제 완료 안내,"서비스 이용 약관이 변경되었습니다.
자세한 내용은 홈페이지를 참조하세요.",0,0,0,0,0,정상,
보안 인증 필요,보안 인증이 필요합니다. 인증: http://secure-auth.kr,1,1,0,0,0,피싱,"자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 의심스러운 도메인 표기(비공식/특이 패턴, [.] 등)"
긴급: 비밀번호 만료 안내,비밀번호 만료 예정입니다. 즉시 재설정해 주세요: http://reset-password.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 짧은 기한·긴급성으로 행동 압박
배송 예정 안내,"다가오는 이벤트에 초대합니다.
참여를 원하시면 아래 링크를 클릭하세요.",0,0,0,0,1,광고,마케팅 어휘 중심 / 제목–본문 불일치 → 광고
세금 환급 진행 안내,세금 환급이 승인되었습니다. 환급 계좌 등록: http://tax-refund.kr,1,1,0,0,0,피싱,환급/결제/청구 등 금전 미끼 사용
포인트 적립 내역,"서비스 이용 약관이 변경되었습니다.
자세한 내용은 홈페이지를 참조하세요.",0,0,0,0,0,정상,
회원 정보 확인 필요,회원 정보가 업데이트되지 않았습니다. 정보 수정: https://member-update.kr,1,1,0,0,0,피싱,맥락 대비 불분명한 링크 포함
포인트 적립 내역,"주문하신 내역을 확인하세요.
감사합니다.",0,0,0,0,0,정상,
결제 완료 안내,"다가오는 이벤트에 초대합니다.
참여를 원하시면 아래 링크를 클릭하세요.",0,0,0,0,1,광고,마케팅 어휘 중심 → 광고
포인트 복구 안내,포인트 복구를 위해 로그인: http://point-recover.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함
포인트 복구 안내,포인트 복구를 위해 로그인: http://point-recover.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함
주문하신 상품이 배송되었습니다,"서비스 이용 약관이 변경되었습니다.
자세한 내용은 홈페이지를 참조하세요.",0,0,0,0,0,정상,
배송 예정 안내,"포인트 적립 내역입니다.
이번 달 적립된 포인트를 확인하세요.",0,0,0,0,0,정상,
보안 인증 필요,보안 인증이 필요합니다. 인증: http://secure-auth.kr,1,1,0,0,0,피싱,"자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 의심스러운 도메인 표기(비공식/특이 패턴, [.] 등)"
회원 정보 확인 필요,회원 정보가 업데이트되지 않았습니다. 정보 수정: https://member-update.kr,1,1,0,0,0,피싱,맥락 대비 불분명한 링크 포함
회원 정보 확인 필요,회원 정보가 업데이트되지 않았습니다. 정보 수정: https://member-update.kr,1,1,0,0,0,피싱,맥락 대비 불분명한 링크 포함
정기점검 안내,"상품이 곧 배송될 예정입니다.
배송 조회는 링크를 통해 가능합니다.",0,0,0,0,0,정상,
포인트 복구 안내,포인트 복구를 위해 로그인: http://point-recover.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함
배송 예정 안내,"결제 완료 안내드립니다.
영수증은 첨부파일을 확인해주세요.",0,0,1,0,0,악성,마케팅 어휘 중심 / 제목–본문 불일치 → 광고
배송 예정 안내,"상품이 곧 배송될 예정입니다.
배송 조회는 링크를 통해 가능합니다.",0,0,0,0,0,정상,
계좌 보안 알림,귀하의 계좌에 이상 거래가 감지되었습니다. 아래 링크에서 확인하세요: https://secure-bank-verify.kr,1,1,0,0,0,피싱,"자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 의심스러운 도메인 표기(비공식/특이 패턴, [.] 등)"
계좌 보안 알림,귀하의 계좌에 이상 거래가 감지되었습니다. 아래 링크에서 확인하세요: https://secure-bank-verify.kr,1,1,0,0,0,피싱,"자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 의심스러운 도메인 표기(비공식/특이 패턴, [.] 등)"
정기점검 안내,"안녕하세요 고객님,
이번 주 신제품 소식과 이벤트 소식을 모아 보내드립니다.",0,0,0,0,1,광고,마케팅 어휘 중심 / 제목–본문 불일치 → 광고
긴급: 비밀번호 만료 안내,비밀번호 만료 예정입니다. 즉시 재설정해 주세요: http://reset-password.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 짧은 기한·긴급성으로 행동 압박
보안 인증 필요,보안 인증이 필요합니다. 인증: http://secure-auth.kr,1,1,0,0,0,피싱,"자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함; 의심스러운 도메인 표기(비공식/특이 패턴, [.] 등)"
배송비 환급 이벤트,잘못 청구된 배송비를 환급해드립니다. 신청: https://refund-service.kr,1,1,0,0,1,피싱,환급/결제/청구 등 금전 미끼 사용; 택배/통관/관세 이슈 사칭
배송 예정 안내,"상품이 곧 배송될 예정입니다.
배송 조회는 링크를 통해 가능합니다.",0,0,0,0,0,정상,
이벤트 초대장입니다,"안녕하세요, 주문하신 상품이 정상적으로 배송 출고되었습니다.
감사합니다.",0,0,0,0,1,광고,프로모션/랜딩 유도 → 광고
포인트 복구 안내,포인트 복구를 위해 로그인: http://point-recover.kr,1,1,0,0,0,피싱,자격 증명(로그인/비밀번호) 입력 요구 + 링크 포함
주문 확인 메일입니다,"안녕하세요, 주문하신 상품이 정상적으로 배송 출고되었습니다.
감사합니다.",0,0,0,0,0,정상,
